"0"	1784
"030"	1
"0x10000"	17
"0x3c0"	2
"0xdc00"	34
"0xe000"	17
"1"	631
"10"	234
"100"	62
"1000"	78
"10000"	12
"100016"	1
"10004"	1
"10006"	1
"1001"	4
"10018"	1
"1002"	1
"10020"	1
"100238"	1
"100340"	1
"10036"	1
"100558"	1
"1007"	5
"10072"	1
"10076"	2
"1008"	4
"1009"	3
"10114"	1
"1013"	2
"10138"	1
"1015"	2
"10177"	2
"1018"	1
"1019"	2
"102"	2
"1020"	2
"10212"	1
"1022"	1
"1023"	2
"1024"	4
"10241"	1
"1025"	6
"10255"	1
"10274"	1
"1028"	2
"10283"	1
"10290"	1
"103"	1
"10307"	2
"10308"	2
"1032"	1
"1033"	2
"10336"	1
"10339"	1
"1034"	2
"103458"	1
"10346"	1
"10353"	1
"10358"	1
"1036"	1
"10389"	1
"1040"	2
"1043"	3
"10436"	1
"1044"	1
"10441"	1
"10443"	1
"1045"	1
"10450"	1
"10455"	1
"104579"	1
"10467"	1
"10471"	1
"1048"	2
"1049"	3
"10493"	1
"1050"	4
"10500"	1
"10505"	1
"10507"	1
"1051"	4
"10512"	1
"10528"	1
"1053"	2
"10532"	1
"10533"	1
"1054"	6
"10540"	1
"10546"	1
"1055"	4
"10554"	1
"1056"	4
"1058"	2
"10587"	1
"1059"	3
"10594"	1
"10599"	1
"106"	4
"1060"	4
"10608"	1
"1061"	7
"10616"	1
"1062"	6
"10622"	2
"10623"	2
"10624"	3
"1063"	4
"10631"	1
"1064"	4
"1065"	2
"1066"	2
"1067"	4
"10680"	1
"1069"	2
"10693"	1
"10696"	1
"107"	1
"1070"	1
"10702"	1
"10708"	1
"1072"	2
"10724"	1
"10751"	1
"10761"	1
"10763"	1
"10791"	2
"1080"	1
"10800"	2
"10806"	2
"108078"	1
"1081"	2
"108101"	1
"108145"	1
"10817"	1
"1083"	1
"10849"	1
"10850"	1
"1086"	2
"10861"	1
"1088"	1
"108860"	1
"1089"	2
"109"	2
"10901"	1
"1091"	2
"1092"	1
"10921"	2
"10923"	1
"10930"	1
"10939"	1
"10944"	1
"1095"	2
"10951"	1
"10960"	1
"10966"	1
"1098"	2
"10981"	1
"109930"	1
"11"	17
"110"	2
"1100"	12
"11007"	2
"11008"	2
"11009"	2
"11010"	2
"11011"	2
"11012"	2
"11013"	2
"11014"	2
"11015"	2
"11016"	2
"11017"	2
"11037"	1
"1104"	2
"11046"	1
"11055"	1
"1106"	2
"1107"	1
"11075"	2
"11088"	2
"1109"	1
"111"	1
"1110"	1
"1111"	2
"1112"	2
"11129"	1
"111396"	1
"1115"	1
"1116"	2
"11171"	2
"1118"	1
"11181"	1
"11186"	2
"1119"	2
"11229"	1
"1123"	3
"1125"	3
"11280"	2
"11281"	2
"1129"	3
"113"	1
"1130"	2
"113047"	1
"1132"	2
"11324"	1
"1133"	2
"1134"	4
"1135"	1
"1137"	1
"11377"	2
"11378"	1
"1141"	1
"1142"	2
"11428"	1
"1143"	1
"11431"	1
"11445"	1
"1145"	2
"1146"	2
"1148"	1
"115"	1
"11518"	1
"1152"	1
"11531"	1
"1155"	3
"11556"	1
"1156"	1
"11560"	1
"11613"	2
"1162"	2
"1166"	3
"1169"	1
"117"	2
"1170"	1
"11703"	1
"11707"	1
"1172"	2
"1173"	2
"1174"	2
"11778"	1
"11790"	2
"117938"	1
"118"	1
"1180"	2
"1181"	2
"119"	2
"1191"	1
"11919"	1
"11931"	1
"1195"	2
"11959"	1
"11964"	2
"12"	27
"120"	5
"1200"	21
"1202"	2
"1203"	2
"1204"	4
"12049"	1
"1205"	3
"1207"	2
"1208"	4
"12082"	2
"12083"	2
"1210"	2
"12112"	1
"121307"	2
"1214"	3
"1217"	2
"1218"	4
"1219"	2
"122"	16
"1220"	4
"1221"	3
"1222"	4
"1225"	2
"1226"	1
"12262"	2
"123"	19
"12349"	1
"1235"	2
"12389"	2
"12390"	2
"124"	1
"12402"	1
"1242"	1
"1244"	2
"1245"	3
"12480"	1
"1249"	2
"125"	3
"1251"	1
"12513"	2
"12546"	1
"1256"	1
"12584"	2
"126418"	1
"126423"	1
"126436"	1
"1265"	1
"1267"	2
"1268"	1
"12715"	1
"127176"	1
"12725"	1
"1273"	4
"12736"	1
"1276"	1
"1277"	2
"1279"	5
"128"	3
"1280"	2
"12812"	1
"12814"	1
"1282"	1
"12828"	1
"12829"	1
"1283"	3
"1286"	3
"1288"	2
"1289"	5
"12890"	1
"12896"	1
"129"	5
"1290"	3
"12905"	1
"1292"	6
"1293"	2
"12938"	1
"1295"	3
"1296"	1
"1297"	4
"1298"	2
"13"	6
"130"	15
"1300"	4
"1301"	4
"1302"	2
"13028"	2
"1303"	2
"1304"	3
"13054"	3
"13055"	2
"1306"	2
"1307"	1
"13077"	1
"13097"	1
"131"	2
"1310"	3
"1311"	4
"1312"	1
"1313"	1
"13133"	1
"13134"	1
"1315"	2
"13154"	2
"1316"	1
"1319"	1
"13193"	1
"132"	2
"13207"	2
"1321"	1
"1322"	1
"13232"	2
"1324"	2
"1326"	2
"132774"	1
"1331"	2
"13311"	1
"13347"	2
"1335"	3
"1336"	1
"13392"	2
"134"	1
"1340"	1
"1344"	4
"13459"	2
"1346"	1
"13465"	2
"1347"	1
"1348"	2
"13481"	1
"135"	1
"13511"	2
"13512"	2
"13520"	2
"13532"	4
"13539"	2
"1354"	2
"13554"	1
"1356"	3
"13577"	2
"1358"	1
"136"	2
"1360"	1
"1361"	1
"13613"	2
"1362"	1
"136231"	1
"13624"	2
"13630"	2
"13636"	2
"13652"	1
"13654"	4
"1366"	1
"1367"	1
"1368"	3
